protein	fraction_significant	binom_p_val	binom_fdr	lower_ci_logFC	median_logFC	upper_ci_logFC	lower_ci_av_exprs	median_av_exprs	upper_ci_av_exprs
AT1G18080.1	0	1	1	-0.526470022070859	-0.401376017177246	-0.176162294459677	16.0833420417582	16.1549824376879	16.2324367813379
AT1G18450.1	0	1	1	0.096343646266728	0.126127787021565	0.151578474606608	17.1394002868572	17.1412749852028	17.1434743395314
AT1G18540.1	0	1	1	0.754073360044231	0.997556709654199	1.33847218709934	17.3504734358623	17.5022743192771	17.6189145283952
AT1G19880.1	0	1	1	0.0531245220239453	0.0829086627787844	0.108359350363825	16.6055225783635	16.6073972767091	16.6095966310376
AT1G20010.1	0	1	1	-1.4572926691101	-1.42750852835526	-1.40205784077022	20.0226692479815	20.0245439463271	20.0267433006556
AT1G20110.1	0	1	1	0.132340139793982	0.162124280548824	0.187574968133865	17.0154555784527	17.0173302767983	17.0195296311268
AT1G20200.1	0	1	1	0.0810970023838812	0.224926118238375	0.356006700036801	15.7279343134859	15.7937182251823	15.860850673852
AT1G20370.1	0.537	0.0104635553030459	0.073964256548406	-3.79527555843092	-2.18659236371682	-1.05811815998259	13.7199331262201	14.5214906262443	15.0790892408693
AT1G20620.6	0	1	1	-0.00902123858979198	0.0207629021650461	0.0462135897500882	22.8288513224611	22.8307260208067	22.8329253751353
AT1G20630.1	0	1	1	-0.728868789173094	0.333558078746566	0.979710646509722	15.3691226488949	15.5924292435294	16.1347211522128
AT1G20960.1	0	1	1	0.138167073989644	0.167951214744484	0.193401902329524	17.7181996037705	17.7200743021161	17.7222736564446
AT1G22250.1	0	1	1	0.141061857004529	0.490396925640705	0.815978800219203	16.0152870657	16.1756036194272	16.3467046567638
AT1G22440.1	0.017	1	1	-1.17648218443881	-0.888665636593373	-0.653001438433152	16.0156514998249	16.1268758161666	16.2538301537143
AT1G22530.1	0.585	4.23890646676941e-08	3.37619944641986e-07	-3.8643873009602	-2.14278315350455	-1.12738368007365	13.6794314472339	14.5318009095277	15.0499360797939
AT1G23130.1	0	1	1	-1.43834265699789	-1.40855851624305	-1.38310782865801	17.625247495697	17.6271221940426	17.6293215483711
AT1G23190.1	0	1	1	-0.0911718272819686	0.038948564740397	0.149334868861483	16.0580114410814	16.1206901030454	16.1732618764914
AT1G23310.1	0	1	1	-0.341642590602543	-0.311858449847703	-0.286407762262663	18.5286391724048	18.5305138707504	18.532713225079
AT1G23900.1	0	1	1	0.0597947093240641	0.244899557981891	0.392037957434964	15.6185313237637	15.711477378887	15.7830448106397
AT1G24180.1	0	1	1	0.485800297310477	0.675925692675442	1.11124312486523	15.3008788168101	15.3953837602213	15.5959351725217
AT1G24510.1	0.002	1	1	-0.895035133849935	-0.752374467414558	-0.595199522154973	15.5752769300039	15.6551688856824	15.7248195743969
AT1G25490.1	0	1	1	-0.901181850119133	-0.871397709364297	-0.845947021779253	16.8388463350235	16.8407210333691	16.8429203876976
AT1G26110.1	0.579	3.26830727998398e-07	2.5492796783875e-06	-4.01869654108305	-2.18008839109604	-1.08071348154064	13.6417511361145	14.5360417078367	15.0869179234672
AT1G26550.1	0	1	1	-1.01394586476522	-0.984161724010378	-0.958711036425337	16.6284556812	16.6303303795456	16.6325297338741
AT1G26630.1	0	1	1	0.160889166800453	0.190673307555291	0.216123995140334	20.4285297249071	20.4304044232527	20.4326037775812
AT1G26880.1	0	1	1	1.00728352165356	1.0370676624084	1.06251834999344	18.7899580059964	18.791832704342	18.7940320586705
AT1G27090.1	0	1	1	-0.374890858111692	-0.172130854053659	0.0412004275320704	15.7779941219743	15.8849187633058	15.9717762750107
AT1G27400.1	0	1	1	0.45000699443562	0.581848026120939	0.670994457835989	16.1076383081852	16.1500550721414	16.2104177909735
AT1G27595.1	0	1	1	-1.86316549433004	-0.233150022451195	0.0271686837154486	15.4592046369187	15.5859495315224	16.4047566304954
AT1G27900.1	0	1	1	-1.00902852363463	0.0333794159900138	0.681657650246002	15.4001541288214	15.6988136642762	16.2175365035319
AT1G28060.1	0.79	6.35355138014531e-80	7.40810990819004e-79	1.38673160262413	2.37543044704536	3.93210482621873	13.8063517907676	14.5862026818584	15.0883611676469
AT1G28130.1	0	1	1	-0.32186738616844	-0.229314107572924	-0.121320040922291	15.5776394404789	15.6269107359572	15.6724542550452
AT1G28290.1	0	1	1	-0.882359131033614	-0.852574990278775	-0.827124302693734	18.2002262222937	18.2021009206393	18.2043002749678
AT1G28400.1	0.001	1	1	-1.27663583110599	-0.95318901111748	-0.562433833080725	15.8077918082948	15.9710296296404	16.1807037768238
AT1G29150.1	0	1	1	0.530109025687031	0.712973707310656	0.84388612447042	15.4868419093591	15.5748594422232	15.6388059937659
AT1G29250.1	0	1	1	-0.607066751823874	-0.347130048169017	-0.138036863522805	16.8575495855714	16.9954206333651	17.093253896054
AT1G29880.1	0	1	1	-0.188661542750152	-0.0826688125732423	0.0441331062407652	15.5022695265564	15.564863298421	15.6129135206777
AT1G30460.1	0	1	1	0.702812856261982	0.900535014851154	0.996150774348529	16.1773314459167	16.2789333921769	16.324374986773
AT1G30470.1	0	1	1	0.127371904956107	0.439098592155672	0.840855575817783	15.6825261664283	15.8349974220606	16.068684242248
AT1G30480.1	0	1	1	0.112015630083682	0.14179977083852	0.167250458423559	15.9619925042419	15.9638672025875	15.9660665569161
AT1G30580.1	0	1	1	0.580977337154471	0.856743014901989	0.977152384716182	16.5975663301103	16.7400083608808	16.7998877513283
AT1G30810.1	0	1	1	-0.0819592893856779	0.216263836565757	0.490728723020209	15.587018807716	15.7211588785145	15.8536861809516
AT1G31330.1	0.864	1.99807550460484e-130	2.93483557884165e-129	-1.63998429137638	-1.32868134673001	-0.891789865856315	16.2803079378598	16.4487839372209	16.6388666050942
AT1G31870.1	0	1	1	-0.137992610066331	-0.0241546106070102	0.0724881887920893	16.0438870384047	16.0881937677545	16.1459205371687
AT1G31970.1	0	1	1	-0.0951968372327543	0.0606830601197787	0.189501486003082	15.5741760533946	15.640337064883	15.7257456818338
AT1G32060.1	0	1	1	0.656520423896626	0.686304564651465	0.711755252236506	16.8804886924398	16.8823633907854	16.8845627451139
AT1G32360.1	1	9.33263618504238e-302	7.53943680377352e-300	-9.69379749899399	-7.99916822834824	-6.87427552953737	16.5454893091278	17.4011419643115	17.9685201750642
AT1G32900.1	0.713	9.39020690718168e-43	9.4824321535915e-42	-4.20029367570858	-2.44952842106759	-1.48345852762919	13.8838626437882	14.7167096354987	15.2239911082297
AT1G33140.1	0	1	1	0.593082330652397	0.622866471407235	0.648317158992277	18.8300436734744	18.83191837182	18.8341177261485
AT1G33590.2	0	1	1	-1.08676666208888	-1.05698252133404	-1.031531833749	19.3248206092692	19.3266953076148	19.3288946619433
AT1G33600.1	0	1	1	-0.325682314250674	-0.295898173495836	-0.270447485910796	17.3290353644561	17.3309100628017	17.3331094171302
AT1G33680.1	0	1	1	-0.0121002033535638	0.204526369569412	0.277447077830685	16.1882005635072	16.29717565531	16.3291156695684
