protein	fraction_significant	binom_p_val	binom_fdr	lower_ci_logFC	median_logFC	upper_ci_logFC	lower_ci_av_exprs	median_av_exprs	upper_ci_av_exprs
AT3G08940.2	0	1	1	-0.867609311535947	-0.351524769170914	0.131773288243006	17.1476178340949	17.3682420819084	17.6225933545751
AT3G09260.1	0	1	1	-1.41002821656737	-1.25188129579437	-1.07882979714112	18.2853970352281	18.302979446534	18.3282956393929
AT3G09440.1	0	1	1	-0.516458885484855	-0.223125451652913	-0.0210717547021141	16.2444069500187	16.3281257429561	16.517069017334
AT3G09820.1	0	1	1	-0.66399090723621	-0.288006926131255	-0.0210216854292957	16.1313584093989	16.2504693174448	16.496488004979
AT3G09840.1	0	1	1	-1.33993102525454	-0.60047831206179	-0.162126418542676	15.8455015996429	16.2057806320277	16.4831083451648
AT3G11130.1	0	1	1	-0.201759103817964	0.223909792905033	0.503326543565708	16.5530758482977	16.6877081556809	16.8977408750663
AT3G11510.1	0.353	1	1	3.11190521042091	5.51388626261322	9.64188679728546	12.7052048233837	14.7967284364301	15.9972709068701
AT3G12290.1	0	1	1	-1.27584427221	-0.181455961701819	0.170814849235879	16.3579576313124	16.5108675105042	17.0700682335204
AT3G12580.1	0	1	1	-1.27998313028241	-0.437303325320864	0.0148274291074769	16.2477182803219	16.5007139116607	16.9372391259146
AT3G12780.1	0	1	1	-2.94062130624418	-1.47413308610627	-0.413108005839764	16.4774098059406	16.9963089410674	17.7266316557196
AT3G13570.1	0.136	1	1	2.09396828022257	4.47613904581671	8.26769692905703	12.3954080841422	14.3043936974689	15.5044556561713
AT3G13930.1	0	1	1	-1.18813079211507	-0.503702495037378	-0.144335266325256	15.8602413789971	16.2013393062232	16.400142909684
AT3G14210.1	0	1	1	-0.594560469787491	-0.422536779111925	-0.209396237428612	16.2182374760654	16.2513249006475	16.2988179874696
AT3G14240.1	0.071	1	1	1.33950928819228	3.77181566777586	7.64846216075321	11.9096899135582	13.8392374597681	15.1086512446621
AT3G14310.1	0	1	1	0.400064262497266	0.558211183270263	0.731262681923516	19.6637507847117	19.6813331960176	19.7066493888766
AT3G14415.2	0	1	1	-2.00274876723105	-0.735586618315906	-0.24060554372073	16.3804722609907	16.6262441749668	17.3261641711353
AT3G14420.1	0	1	1	-0.333168819736649	-0.175021898963652	-0.0019704003104002	18.5003936644739	18.5179760757798	18.5432922686388
AT3G15010.1	0.233	1	1	2.27574096096101	4.81420442634639	8.26292224675094	12.6534298431014	14.3715060114722	15.6310752876725
AT3G15730.1	0	1	1	-2.99381919221381	-2.37536346857486	-1.76759725270191	16.986611826162	17.299353398849	17.5858649010012
AT3G16420.1	0	1	1	-0.565027810284993	-0.406880889511996	-0.233829390858744	18.9745255643099	18.9921079756158	19.0174241684748
AT3G16450.1	0	1	1	-0.414630456971616	-0.238895490962087	-0.0529615534716073	17.1532597944847	17.1929591579157	17.2361754581194
AT3G16460.1	0	1	1	-0.762161149494959	-0.604014228721961	-0.430962730068709	18.4592992626675	18.4768816739734	18.5021978668324
AT3G16470.1	0	1	1	-1.56095871228147	-1.38277632175075	-1.16872467725922	17.4257133782785	17.4637992760197	17.5128739738165
AT3G16530.1	0.08	1	1	1.66607154435601	4.16765518082257	7.98491087276271	12.2100654348187	14.0559950020849	15.3170471305673
AT3G17390.1	0	1	1	0.737413104030446	1.00226326064385	1.18883122050167	16.924582990818	16.9931178066002	17.1559589813919
AT3G18080.1	0	1	1	-1.67776264176362	-0.804127511788074	0.19248982538416	16.8390568984306	17.1866337567649	17.7474802055225
AT3G18130.1	0	1	1	-1.23826518549894	-0.61569988924489	-0.397657100962519	16.0015574261653	16.1146258426385	16.4337680555156
AT3G18740.1	0.161	1	1	2.00828078979882	4.37512203550719	8.31284924713173	12.1354145258015	14.1020998100749	15.3000287772504
AT3G18780.2	0	1	1	-3.00997724776423	-2.85183032699123	-2.67877882833798	20.8813187098328	20.8989011211387	20.9242173139976
AT3G18790.1	0.084	1	1	1.7728821353438	4.34022824929917	8.13887222299702	12.2799294277764	14.1238483000008	15.3535541799888
AT3G19360.1	0.075	1	1	1.42990459179926	3.95907083657055	7.55786360696207	12.1031828514047	13.8881821868714	15.1469877151421
AT3G19760.1	0	1	1	0.205206135508675	0.55429980313953	0.790102303106086	16.6563753500337	16.7461679937072	16.8899264488897
AT3G20370.1	0	1	1	-1.29632305910781	-0.331547322602132	-0.0965150007975359	16.1729251760013	16.2785846490035	16.7708407303714
AT3G20820.1	0	1	1	1.6074484222978	1.7655953430708	1.93864684172405	17.1181942815078	17.1357766928137	17.1610928856726
AT3G22290.1	0.368	1	1	-8.43239345989818	-6.27486377405425	-4.91496780776543	15.1532016469232	16.1970280459023	16.8741730428435
AT3G26060.2	0	1	1	-3.07708606469673	-2.48272014714245	-1.68375071528473	17.519554521291	17.9166343372156	18.1898910301621
AT3G26650.1	0	1	1	0.338972245039656	0.497119165812655	0.670170664465906	17.3862272382357	17.4038096495417	17.4291258424006
AT3G32980.1	0	1	1	-1.42878270705314	-1.1498730932805	-0.924666419400235	15.7655772050538	15.8534747458235	16.0445737355834
AT3G42170.1	0.235	1	1	2.46204682543987	4.88020530149174	8.58031787270566	12.5893226727877	14.4589275685243	15.6568206787812
AT3G44310.1	0	1	1	-1.99998842788792	-1.04225735105533	0.486866361291887	17.4776053422063	18.2506554163289	18.6577845900868
AT3G44320.1	0	1	1	-3.25853490732079	-2.33442773708998	-0.669085771708116	16.7892324558818	17.611597733521	18.0764759526095
AT3G46780.1	0.002	1	1	-2.33548171189547	-0.9843132329298	-0.572156064001466	16.482835987451	16.6784093294674	17.3544658518129
AT3G47800.1	0	1	1	-0.00872914976343919	0.458140490415488	0.733144311296428	16.5973156401103	16.7762806764663	16.9543554049667
AT3G48000.1	0.329	1	1	-5.58310183676361	-3.39865787604844	-2.02087129570678	13.6185690174445	14.7361633575784	15.3994515716328
AT3G48690.1	0.119	1	1	1.94699239832003	4.34649138687795	8.0832625452229	12.1503249134868	14.1089796319326	15.2668723926788
AT3G49010.1	0	1	1	-0.493047965220936	0.0238467166993248	0.239512304517824	16.3387877067501	16.4425472115312	16.7270872194621
AT3G49120.1	0	1	1	-1.21778395800706	-0.615866604129508	0.0113816672561613	15.9670529328207	16.1094575077047	16.5188016436468
AT3G49430.1	0.138	1	1	1.62093840212786	4.20836297872512	8.10286365630833	12.0189752484448	14.0081087765035	15.3064109286541
